Year,Male Age,Actor,Male Movie,Female Age,Actress,Female Movie
1975,38,Jack Nicholson,Cuckoo's Nest,41,Louise Fletcher,Cuckoo's Nest
1976,60,Peter Finch,Network,35,Faye Dunaway,Network
1977,30,Richard Dreyfuss,The Goodbye Girl,31,Diane Keaton,Annie Hall
1978,40,Jon Voight,Coming Home,41,Jane Fonda,Coming Home
1979,42,Dustin Hoffman,Kramer vs. Kramer,33,Sally Field,Norma Rae
1980,37,Robert De Niro,Raging Bull,30,Sissy Spacek,Coal Miner's Daughter
1981,76,Henry Fonda,On Golden Pond,74,Katherine Hepburn,On Golden Pond
1982,39,Ben Kingsly,Gandhi,33,Meryl Streep,Sophie's Choice
1983,52,Robert Duvall,Tender Mercies,49,Shirley MacLaine,Terms of Endearment
1984,45,F. Murray Abraham,Amadeus,38,Sally Field,Places in the Heart
1985,35,William Hurt,Kiss of the Spider,61,Geraldine Page,Trip to Bountiful
1986,61,Paul Newman,The Colour of Money,21,Marlee Matlin,Children of a Lesser God
1987,43,Michael Douglas,Wall Street,41,Cher,Moonstruck
1988,51,Dustin Hoffman,Rain Man,26,Jodie Foster,The Accused
1989,32,Daniel Day-Lewis,My Left Foot,81,Jessica Tandy,Driving Miss Daisy
1990,42,Jeremy Irons,Reversal of Fortune,42,Kathy Bates,Misery
1991,54,Anthony Hopkins,Silence of the Lambs,29,Jodie Foster,The Silence of the Lambs
1992,52,Al Pacino,Scent of a Woman,33,Emma Thompson,Howards End
1993,37,Tom Hanks,Philadelphia,35,Holly Hunter,The Piano
1994,38,Tom Hanks,Forrest Gump,45,Jessica Lang,Blue Sky
1995,31,Nicolas Cage,Leaving Las Vegas,49,Susan Sarandon,Dead Man Walking
1996,45,Geoffry Rush,Shine,39,Frances McDormand,Fargo
1997,60,Jack Nicholson,As Good As It Gets,32,Helen Hunt,As Good As It Gets
1998,46,Robert Benigni,Life is Beautiful,26,Gwyneth Paltrow,Shakespeare In Love
1999,40,Kevin Spacey,American Beauty,25,Hillary Swank,Boys Don't Cry
2000,36,Russel Crowe,Galdiator,33,Julia Roberts,Erin Brockovich
2001,47,Denzel Washington,Training Day,35,Halle Berry,Monster's Ball
2002,29,Adrien Brody,The Pianist,35,Nicole Kidman,The Hours
2003,43,Sean Penn,Mystic River,28,Charlize Theron,Monster
2004,37,Jamie Foxx,Ray,30,Hillary Swank,Million Dollar Baby
2005,38,Philip Seymour Hoffman,Capote,29,Reese Witherspoon,Walk The Line
2006,45,Forest Whitaker,Last King of Scotland,61,Helen Mirren,The Queen
2007,51,Daniel Day-Lewis,There Will Be Blood,33,Marion Cotillard,La Vie en Rose
2008,48,Sean Penn,Milk,33,Kate Winslet,The Reader
2009,60,Jeff Bridges,Crazy Heart,45,Sandra Bullock,The Blind Side
2010,50,Colin Firth,The King's Speech,29,Natalie Portman,Black Swan
2011,39,Jean Dujardin,The Artist,62,Meryl Streep,The Iron Lady
2012,55,Daniel Day-Lewis,Lincoln,22,Jennifer Lawrence,Silver Linings Playbook
2013,44,Matthew McConaughey,Dallas Buyers Club,44,Cate Blanchett,Blue Jasmine
2014,33,Eddie Redmayne,The Theory of Everything,54,Julianne Moore,Still Alice
2015,41,Leonardo DiCaprio,The Revenant,26,Brie Larson,Room
2016,41,Casey Affleck,Manchester by the Sea,28,Emma Stone,La La Land
2017,59,Gary Oldman,The Darkest Hour,60,Frances McDormand,"Three Billboards Outside Ebbing, MO"
2018,37,Rami Malek,Bohemian Rhapsody,45,Olivia Colman,The Favourite
2019,45,Joaquin Pheonix,Joker,50,Renee Zellweger,Judy
