name,band,dob,height,hair_color,hair_frosted,hair_length,hair_style,eyes,skin,age
Lance Bass,NSYNC,5/4/1979,69,brown,yes,short,spiked,green,light,43
Chris Kirkpatrick,NSYNC,10/17/1971,66,brown,no,short,spiked,brown,light,50
Erik-Michael Estrada,O-Town,9/23/1979,72,black,no,medium,spiked,brown,medium-light,42
Trevor Penick,O-Town,11/16/1979,72,black,no,medium,afro,brown,medium-dark,42
Jacob Underwood,O-Town,4/25/1980,70,brown,no,medium,braids,blue,light,42
Dan Miller,O-Town,9/4/1980,72,brown,no,short,spiked,blue,light,41
Ashley Parker Angel,O-Town,8/1/1981,74,blonde,no,medium,spiked,blue,light,40
Patrick J. Dancy,Guys Next Door,7/18/1970,70,black,no,medium,fade,brown,medium-dark,51
Kevin Jonas,Jonas Brothers,11/5/1987,69,brown,no,short,curly,hazel,light,34
Nick Jonas,Jonas Brothers,9/16/1992,67,brown,no,medium,curly,brown,light,29
Joe Jonas,Jonas Brothers,8/15/1989,67,brown,no,medium,shaggy,brown,light,32
Nathan Morris,Boyz II Men,6/18/1971,69,black,no,medium,fade,brown,medium-dark,51
Wanya Morris,Boyz II Men,7/29/1973,70,black,no,short,fade,brown,medium-dark,48
Shawn Stockman,Boyz II Men,9/26/1972,69,black,no,medium,fade,brown,medium-dark,49
Michael McCary,Boyz II Men,12/16/1971,70,black,no,medium,fade,brown,medium-dark,50
Michael Bivins,Bell Biv DeVoe,8/10/1968,66,black,no,short,high-top,brown,medium-dark,53
Ricky Bell,Bell Biv DeVoe,9/18/1967,65,black,no,medium,high-top,brown,medium-dark,54
Ronnie DeVoe,Bell Biv DeVoe,11/17/1967,72,black,no,medium,high-top,brown,medium-dark,54
Nick Lachey,98 Degrees,11/9/1973,69,brown,no,short,spiked,blue,light,48
Drew Lachey,98 Degrees,8/8/1976,66,brown,no,short,spiked,hazel,light,45
Jeff Timmons,98 Degrees,4/30/1973,68,brown,no,short,spiked,blue,light,49
Justin Jeffre,98 Degrees,2/25/1973,68,brown,no,short,crew,blue,light,49
Miguel Cancel,Menudo,6/29/1968,67,black,no,medium,swept,brown,medium,54
Jimin,BTS,10/13/1995,68,blonde,no,medium,shaggy,brown,light,26
"""Omarion"" Ishmael Grandberry",B2K,11/12/1984,66,black,no,long,braids,brown,medium,37
Lil' Fizz,B2K,11/26/1985,67,black,no,medium,ponytail,brown,medium,36
Calum Hood,5 Seconds of Summer,1/25/1996,73,black,no,medium,swept,brown,medium-light,26
J-Boog,B2K,8/11/1985,65,black,no,short,curly,brown,medium,36
Raz-B,B2K,6/13/1985,66,black,no,short,fade,brown,medium,37
Luke Hemmings,5 Seconds of Summer,7/16/1996,76,blonde,no,medium,spiked,blue,light,25
Ashton Irwin,5 Seconds of Summer,7/7/1994,72,blonde,no,medium,curly,hazel,light,27
"Qwanell ""Que"" Mosley",Day26,9/29/1988,71,black,no,short,curly,brown,medium-dark,33
"Robi ""Draco"" Rosa",Menudo,6/27/1970,70,brown,no,medium,high-top,brown,medium-light,52
Ricky Martin,Menudo,12/24/1971,60,brown,no,medium,shaggy,brown,light,50
Raymond Acevedo,Menudo,12/21/1971,63,brown,no,medium,high-top,brown,light,50
Roy Rosello,Menudo,5/1/1970,65,brown,no,long,shaggy,brown,light,52
Charlie Masso,Menudo,6/13/1969,70,brown,no,medium,curly,brown,light,53
"""Abz Love"" Abidin Breen",5ive,6/29/1979,68,black,no,short,spiked,brown,medium-light,43
"Jason Paul ""J"" Brown",5ive,6/13/1976,71,black,no,short,crew,blue,light,46
"""Ritchie"" Neville Dobson",5ive,8/23/1979,69,brown,no,medium,shaggy,blue,light,42
Shane Filan,Westlife,7/5/1979,68,brown,no,short,spiked,hazel,light,43
Kian Egan,Westlife,4/29/1980,69,blonde,no,medium,bangs,blue,light,42
Brian McFadden,Westlife,4/12/1980,74,blonde,no,long,bangs,blue,light,42
Mark Feehily,Westlife,5/28/1980,71,brown,no,short,spiked,blue,light,42
Nicky Byrne,Westlife,10/9/1978,69,blonde,no,short,spiked,blue,light,43
Bobby Brown,New Edition,2/6/1969,70,brown,no,short,fade,brown,medium-dark,53
Ricky Bell,New Edition,9/18/1967,65,black,no,short,fade,brown,medium-dark,54
Johnny Gill,New Edition,5/22/1966,72,black,no,short,fade,brown,medium-dark,56
Ralph Tresvant,New Edition,5/16/1968,68,black,no,short,fade,brown,medium-dark,54
Ronnie DeVoe,New Edition,11/17/1967,72,black,no,short,fade,brown,medium-dark,54
Michael Bivins,New Edition,8/10/1968,66,black,no,short,fade,brown,medium-dark,53
Howie Dorough,Backstreet Boys,8/22/1973,69,brown,no,short,bangs,brown,medium-light,48
Nick Carter,Backstreet Boys,1/28/1980,72,blonde,no,medium,shaggy,blue,light,42
"""AJ"" McLean",Backstreet Boys,1/9/1978,69,brown,no,short,crew,brown,medium-light,44
Kevin Richardson,Backstreet Boys,10/3/1971,73,brown,no,medium,bangs,brown,light,50
Christian Burns,BBMak,1/18/1974,70,brown,yes,short,spiked,blue,light,48
Mark Barry,BBMak,10/26/1978,69,brown,no,short,spiked,brown,light,43
"Stephen ""Ste"" McNally",BBMak,7/4/1978,69,brown,no,short,spiked,brown,light,44
Trevor Guthrie,soulDecision,2/11/1973,73,blonde,yes,short,spiked,blue,light,49
Dave Bowman,soulDecision,6/16/1972,69,brown,no,short,bangs,brown,light,50
Ken Lewko,soulDecision,8/4/1971,69,blonde,yes,short,spiked,green,light,50
Jonathan Knight,New Kids On The Block,11/29/1968,71,brown,no,short,feathered,hazel,light,53
Jordan Knight,New Kids On The Block,5/17/1970,71,brown,no,medium,"feathered, rat tail",brown,light,52
Danny Wood,New Kids On The Block,5/14/1969,68,black,no,short,"high-top, rat tail",brown,light,53
Donnie Wahlberg,New Kids On The Block,8/17/1969,70,blonde,no,short,"feathered, rat tail",brown,light,52
Joey McIntyre,New Kids On The Block,12/31/1972,70,brown,no,short,curly,blue,light,49
"""Jase4Real"" Oliver Dalyrimple",Soul for Real,5/10/1980,70,black,no,short,curly,brown,medium-dark,42
Daron Jones,112,12/27/1976,75,black,no,short,curly,brown,dark,45
Mike Marcel Keith,112,12/18/1978,68,black,no,short,fade,brown,medium-dark,43
RM,BTS,9/12/1994,71,red,no,medium,shaggy,brown,light,27
Jin,BTS,12/4/1992,70,black,no,medium,shaggy,brown,light,29
J-Hope,BTS,2/18/1994,70,red,no,medium,shaggy,brown,light,28
Evan Farmer,2gether,7/28/1972,70,brown,no,short,spiked,green,light,49
Michael Cuccione,2gether,1/5/1985,69,brown,no,short,slick,hazel,light,37
Noah Bastian,2gether,8/26/1979,69,brown,yes,short,spiked,green,light,42
Kevin Farley,2gether,6/8/1965,70,brown,no,medium,shaggy,blue,light,57
Tom Parker,The Wanted,8/4/1988,70,black,no,short,spiked,brown,medium-light,33
Nathan Sykes,The Wanted,4/18/1993,69,brown,no,short,swept,blue,light,29
