behaveDiff,payDate,race2,racethn4,educ3,educ4,age3,kids,orientation,weight
NA,Rarely,White,White,College or more,College or more,65 and up,Has children,Straight,0.373985307
NA,Always,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.054032635
No,Sometimes,White,White,College or more,College or more,65 and up,Has children,Straight,0.309021099
Yes,Always,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.09910235
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.600430108
No,Never,White,White,Some college,Some college,65 and up,Has children,Straight,0.635442753
NA,Always,White,White,High school or less,High school or less,65 and up,Has children,Straight,1.701502298
Yes,Often,White,White,College or more,Post graduate degree,18 - 34,Has children,Straight,0.125880541
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.442494849
NA,Always,White,White,College or more,College or more,35 - 64,No children,Straight,0.470628361
Yes,Often,Non-white,Hispanic,College or more,Post graduate degree,18 - 34,No children,Straight,0.660588029
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.019744451
NA,Never,White,White,Some college,Some college,35 - 64,No children,Gay/Bisexual,3.105916675
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.373985307
NA,Often,White,White,High school or less,High school or less,35 - 64,Has children,Straight,1.471602022
No,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,0.68862606
NA,Always,White,White,High school or less,High school or less,35 - 64,No children,Straight,1.816118981
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.019744451
NA,Sometimes,White,White,College or more,College or more,65 and up,Has children,Straight,0.442494849
No,Often,White,White,Some college,Some college,65 and up,Has children,Straight,0.547589263
NA,Always,White,White,High school or less,High school or less,35 - 64,No children,Straight,6.632057762
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.373985307
NA,Never,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.019744451
NA,Often,White,White,High school or less,High school or less,18 - 34,No children,Straight,6.74145507
Yes,Often,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.076420106
Yes,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.373985307
No,Often,White,White,Some college,Some college,35 - 64,No children,Gay/Bisexual,0.639412438
Yes,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.019744451
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.069031279
NA,Often,White,White,Some college,Some college,35 - 64,Has children,Straight,1.021090903
NA,Often,White,White,College or more,College or more,65 and up,No children,Gay/Bisexual,0.607250221
NA,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,1.226417774
NA,Sometimes,Non-white,Other,College or more,Post graduate degree,65 and up,Has children,Straight,0.104377201
No,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.069031279
NA,Always,White,White,Some college,Some college,35 - 64,No children,Other,0.536890969
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.442494849
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059076967
No,Often,Non-white,Other,College or more,Post graduate degree,35 - 64,No children,Straight,0.106907523
No,Often,White,White,College or more,College or more,35 - 64,No children,Straight,0.515567485
No,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059756492
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.481730211
No,Sometimes,White,White,Some college,Some college,35 - 64,No children,Gay/Bisexual,0.639412438
NA,Often,White,White,Some college,Some college,65 and up,Has children,Straight,0.547589263
NA,Often,White,White,Some college,Some college,35 - 64,Has children,Gay/Bisexual,0.565816475
NA,Always,Non-white,Other,Some college,Some college,65 and up,Has children,Straight,0.992027905
NA,Always,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.08791668
NA,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.403697402
NA,Never,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.06942877
Yes,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.060690026
NA,Often,White,White,College or more,College or more,65 and up,No children,Straight,0.788585623
NA,Sometimes,White,White,Some college,Some college,35 - 64,No children,Other,0.879540673
NA,Often,White,White,Some college,Some college,18 - 34,No children,Straight,3.377108698
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.656490054
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.515567485
No,Sometimes,White,White,College or more,College or more,35 - 64,No children,Gay/Bisexual,0.840492647
NA,Always,Non-white,Hispanic,College or more,College or more,65 and up,No children,Straight,1.010046392
No,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.064138043
NA,Always,White,White,High school or less,High school or less,35 - 64,No children,Other,5.9546938
NA,Always,White,White,High school or less,High school or less,18 - 34,Has children,Straight,8.643673599
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.600430108
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059756492
No,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.068464567
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.019744451
NA,Always,White,White,High school or less,High school or less,65 and up,Has children,Straight,1.743824365
NA,Often,White,White,High school or less,High school or less,35 - 64,Has children,Straight,1.615943852
NA,Always,White,White,Some college,Some college,65 and up,No children,Straight,0.635442753
NA,Always,Non-white,Other,High school or less,High school or less,18 - 34,Has children,Straight,6.360036505
NA,Sometimes,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.076899939
NA,Often,White,White,College or more,Post graduate degree,65 and up,No children,Gay/Bisexual,0.069031279
Yes,Sometimes,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059076967
No,Always,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.019744451
NA,Sometimes,White,White,Some college,Some college,65 and up,Has children,Straight,0.58030604
Yes,No answer,White,White,College or more,College or more,35 - 64,Has children,Straight,0.397412793
No,Often,White,White,College or more,Post graduate degree,35 - 64,Has children,Gay/Bisexual,0.060706517
No,Always,Non-white,Other,College or more,College or more,35 - 64,Has children,Straight,0.540320612
No,Always,Non-white,Other,College or more,College or more,18 - 34,No children,Straight,2.448233419
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.069031279
NA,Always,Non-white,Other,High school or less,High school or less,18 - 34,Has children,Straight,6.373155786
NA,Rarely,Non-white,Other,Some college,Some college,18 - 34,No children,Gay/Bisexual,5.018494811
NA,Always,White,White,Some college,Some college,35 - 64,No children,Straight,0.620528742
No answer,Always,Non-white,Black,College or more,College or more,18 - 34,No children,Gay/Bisexual,2.274910848
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.512408421
NA,Always,White,White,High school or less,High school or less,65 and up,Has children,Straight,2.237947368
NA,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.676830156
No,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.615179712
NA,Always,White,White,College or more,College or more,35 - 64,NA,Straight,0.644454454
NA,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.655175216
No,Often,White,White,Some college,Some college,35 - 64,No children,Gay/Bisexual,0.521199436
Yes,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.620528742
NA,Always,White,White,High school or less,High school or less,65 and up,Has children,Straight,1.986332063
NA,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.865655031
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,1.065552675
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.37986596500000003
NA,Often,White,White,High school or less,High school or less,35 - 64,No children,Straight,2.316040656
NA,Sometimes,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.0749326
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.442494849
Yes,Always,White,White,Some college,Some college,18 - 34,Has children,Straight,3.120131904
NA,Often,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.019744451
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.504498341
No,Often,White,White,College or more,College or more,35 - 64,No children,Gay/Bisexual,0.644454454
NA,Never,White,White,High school or less,High school or less,18 - 34,No children,Other,6.74145507
No,Always,White,White,High school or less,High school or less,18 - 34,No children,Straight,7.216792398
NA,Always,White,White,High school or less,High school or less,35 - 64,No children,Straight,3.322955988
NA,Sometimes,Non-white,Black,High school or less,High school or less,18 - 34,Has children,Straight,8.643673599
Yes,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.605148042
NA,Rarely,Non-white,Hispanic,College or more,College or more,18 - 34,No children,Straight,4.320422125
Yes,Always,Non-white,Black,College or more,Post graduate degree,35 - 64,Has children,Straight,0.169466602
NA,Sometimes,White,White,College or more,College or more,65 and up,Has children,Straight,0.605148042
NA,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,1.05284753
No,Often,Non-white,Hispanic,College or more,College or more,35 - 64,Has children,Straight,3.817594429
Yes,Always,Non-white,Other,College or more,Post graduate degree,35 - 64,No children,Straight,0.276272551
No,Always,White,White,Some college,Some college,35 - 64,No children,Straight,0.620528742
No,Sometimes,Non-white,Black,High school or less,High school or less,35 - 64,Has children,Straight,2.638951116
No,Often,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.067232193
No,Sometimes,White,White,Some college,Some college,35 - 64,Has children,Straight,0.96130902
No,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.759769975
No,Often,White,White,College or more,College or more,35 - 64,No children,Straight,1.175919075
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.724244582
No,Sometimes,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.07845712
No,Often,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.174506578
No,Often,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.061673113
No,Sometimes,White,White,High school or less,High school or less,35 - 64,Has children,Straight,5.933018363
No,Always,White,White,College or more,College or more,65 and up,No children,Straight,0.663356077
NA,Often,White,White,College or more,Post graduate degree,35 - 64,Has children,Gay/Bisexual,0.061599115
No,Often,Non-white,Hispanic,Some college,Some college,18 - 34,No children,Straight,5.930095981
No,Often,Non-white,Hispanic,High school or less,High school or less,65 and up,Has children,Straight,5.140699136
NA,Often,Non-white,Black,College or more,College or more,18 - 34,Has children,Straight,2.996631316
NA,Always,Non-white,Hispanic,College or more,College or more,35 - 64,Has children,Straight,2.90345625
NA,No answer,Non-white,Other,Some college,Some college,35 - 64,No children,Straight,1.236367641
No,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Other,0.060002926
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Other,0.088870452
NA,Never,White,White,High school or less,High school or less,18 - 34,No children,Straight,6.113097767
Yes,Always,Non-white,Hispanic,College or more,Post graduate degree,35 - 64,No children,Straight,0.210711149
NA,Sometimes,White,White,College or more,Post graduate degree,65 and up,No children,Gay/Bisexual,0.059756492
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.056642551
No,Often,Non-white,Other,College or more,College or more,65 and up,No children,Other,0.537955899
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Other,0.019744451
Yes,Often,White,White,Some college,Some college,35 - 64,No children,Straight,0.639412438
No,Sometimes,White,White,College or more,College or more,35 - 64,No children,Gay/Bisexual,0.529389661
No,Sometimes,White,White,College or more,College or more,18 - 34,No children,Gay/Bisexual,2.731957817
No,Often,Non-white,Other,College or more,Post graduate degree,18 - 34,Has children,Straight,0.37462246
Yes,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.656490054
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,1.065552675
Yes,Often,White,White,Some college,Some college,35 - 64,No children,Straight,0.582941873
NA,Always,White,White,Some college,Some college,35 - 64,No children,Gay/Bisexual,0.521199436
No,Often,White,White,Some college,Some college,35 - 64,Has children,Straight,0.655175216
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.496283147
No,Never,White,White,College or more,College or more,35 - 64,Has children,Straight,1.069493349
NA,Always,White,White,High school or less,High school or less,35 - 64,Has children,Straight,5.590894125
NA,Always,White,White,College or more,College or more,35 - 64,No children,Gay/Bisexual,0.545344405
NA,Always,White,White,College or more,College or more,35 - 64,No children,Straight,0.397412793
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.504498341
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.066058959
No,Often,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.060002926
Yes,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.060872912
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.0749326
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.408203209
NA,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.780180584
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.627590398
Yes,Always,Non-white,Hispanic,Some college,Some college,35 - 64,Has children,Straight,1.806316255
NA,Always,Non-white,Hispanic,High school or less,High school or less,18 - 34,No children,Straight,8.643673599
No,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.547589263
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059756492
NA,Always,White,White,College or more,College or more,35 - 64,No children,Straight,0.627590398
No,Always,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.069031279
No,Often,White,White,Some college,Some college,35 - 64,Has children,Straight,0.639636832
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.057243954
NA,Always,Non-white,Other,College or more,Post graduate degree,35 - 64,Has children,Straight,0.092845258
No,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,2.448316358
No,Often,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.122829076
NA,Often,White,White,Some college,Some college,65 and up,Has children,Straight,0.615179712
NA,Often,White,White,Some college,Some college,18 - 34,No children,Straight,3.377108698
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.982487406
No answer,Always,White,White,Some college,Some college,18 - 34,Has children,Straight,1.265865399
Yes,No answer,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059076967
No,Always,White,White,High school or less,High school or less,35 - 64,Has children,Straight,2.52429114
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059756492
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059756492
NA,Sometimes,White,White,College or more,College or more,35 - 64,Has children,Straight,0.470628361
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.529114239
No,Sometimes,White,White,College or more,College or more,35 - 64,No children,Gay/Bisexual,0.386064126
No,Often,White,White,Some college,Some college,35 - 64,Has children,Straight,0.656781403
No,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059086641
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.608994519
NA,Often,White,White,High school or less,High school or less,65 and up,Has children,Straight,1.873498326
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.076678628
No,Often,Non-white,Hispanic,Some college,Some college,18 - 34,Has children,Straight,6.293930292
Yes,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.476678339
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.593337833
No,Never,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.070309782
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.713051506
NA,Rarely,Non-white,Other,College or more,College or more,18 - 34,Has children,Gay/Bisexual,3.248746049
No,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,0.68862606
NA,Often,White,White,College or more,Post graduate degree,65 and up,No children,Gay/Bisexual,0.019744451
No,Always,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.061673113
No,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,0.515746057
NA,Never,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.064265518
Yes,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.060706517
No,Sometimes,White,White,College or more,College or more,35 - 64,No children,Straight,0.528111461
No,Always,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.100822157
NA,Often,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.069709778
No,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,0.67857412
No,Sometimes,White,White,College or more,College or more,18 - 34,Has children,Straight,1.679588526
NA,Often,White,White,College or more,College or more,35 - 64,No children,Straight,0.646701035
No,Sometimes,Non-white,Hispanic,College or more,College or more,18 - 34,No children,Gay/Bisexual,4.213356822
Yes,Often,Non-white,Hispanic,College or more,College or more,18 - 34,No children,Gay/Bisexual,4.320422125
NA,Sometimes,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.056642551
NA,Often,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.019744451
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.397412793
NA,Sometimes,White,White,College or more,College or more,65 and up,Has children,Straight,0.452883113
NA,Always,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.05465732
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.600640079
NA,Often,White,White,College or more,College or more,18 - 34,Has children,Straight,1.736894488
NA,Often,White,White,College or more,College or more,18 - 34,No children,Straight,1.580962197
No,Always,White,White,Some college,Some college,35 - 64,No children,Straight,0.656781403
No,Sometimes,White,White,College or more,College or more,35 - 64,No children,Straight,0.515567485
NA,Sometimes,White,White,Some college,Some college,65 and up,Has children,Gay/Bisexual,0.615179712
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.060690026
No,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,0.397412793
NA,Sometimes,White,White,Some college,Some college,35 - 64,Has children,Straight,0.62074615
NA,Often,White,White,College or more,College or more,35 - 64,No children,Straight,0.644454454
NA,Often,White,White,Some college,Some college,65 and up,Has children,Straight,0.944588559
No,Always,White,White,Some college,Some college,65 and up,Has children,Straight,1.247120116
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.484712546
No,Often,White,White,College or more,College or more,35 - 64,No children,Straight,0.627590398
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.500539891
Yes,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.058104994
Yes,Often,White,White,College or more,College or more,65 and up,No children,Gay/Bisexual,0.496283147
NA,Often,White,White,College or more,College or more,65 and up,No children,Gay/Bisexual,0.663356077
No,Never,White,White,College or more,College or more,65 and up,Has children,Straight,0.496283147
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.672943934
NA,Sometimes,White,White,College or more,College or more,65 and up,No children,Straight,0.468530772
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.672943934
No,Always,Non-white,Other,College or more,College or more,35 - 64,Has children,Straight,1.617200244
No,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,0.512693291
Yes,Always,Non-white,Other,College or more,College or more,35 - 64,Has children,Straight,0.50999378
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.060690026
No,Always,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.073384511
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.484545451
NA,Always,White,White,College or more,College or more,65 and up,No children,Straight,0.496283147
No,Always,White,White,College or more,College or more,35 - 64,No children,Straight,0.627590398
Yes,Sometimes,White,White,College or more,Post graduate degree,18 - 34,No children,Straight,0.128261059
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.529114239
No,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.62074615
Yes,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Gay/Bisexual,0.059882095
No,Always,White,White,College or more,College or more,35 - 64,No children,Straight,1.065552675
NA,Always,Non-white,Black,High school or less,High school or less,18 - 34,Has children,Straight,8.676605507
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.060690026
Yes,Sometimes,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.124295682
NA,Always,White,White,High school or less,High school or less,35 - 64,No children,Gay/Bisexual,2.055514091
No,Sometimes,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.076678628
NA,Sometimes,White,White,College or more,College or more,65 and up,Has children,Straight,0.663356077
NA,Sometimes,White,White,Some college,Some college,35 - 64,Has children,Gay/Bisexual,0.804195037
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.483958033
No,Often,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.058913986
No,Always,White,White,College or more,College or more,18 - 34,No children,Straight,2.273331939
NA,Sometimes,White,White,College or more,College or more,35 - 64,Has children,Gay/Bisexual,0.470628361
NA,Always,White,White,College or more,College or more,65 and up,No children,Straight,0.999179623
NA,Sometimes,Non-white,Other,College or more,College or more,35 - 64,No children,Gay/Bisexual,0.495139732
Yes,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.076678628
NA,Never,White,White,Some college,Some college,18 - 34,No children,Gay/Bisexual,3.923795858
NA,Sometimes,Non-white,Other,Some college,Some college,18 - 34,No children,Straight,3.290107389
No,Always,Non-white,Hispanic,College or more,Post graduate degree,35 - 64,Has children,Other,0.454108015
No,Often,White,White,Some college,Some college,35 - 64,No children,Gay/Bisexual,0.801371981
NA,Never,White,White,College or more,College or more,65 and up,Has children,Straight,0.999179623
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.496283147
Yes,Sometimes,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.019744451
No,Often,White,White,College or more,College or more,65 and up,No children,Straight,0.468530772
No,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.656490054
No,No answer,Non-white,Black,College or more,Post graduate degree,35 - 64,Has children,Straight,0.166671965
NA,Sometimes,White,White,High school or less,High school or less,35 - 64,No children,Gay/Bisexual,1.987492634
NA,Always,White,White,Some college,Some college,65 and up,No children,Straight,0.615179712
No,Often,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.070721351
NA,Always,White,White,High school or less,High school or less,35 - 64,Has children,Straight,1.517836798
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.484545451
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.574169258
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.452499589
NA,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.870320158
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.600640079
NA,Sometimes,White,White,High school or less,High school or less,18 - 34,No children,Gay/Bisexual,7.33485832
NA,Always,Non-white,Other,Some college,Some college,35 - 64,Has children,Straight,1.836654924
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.644454454
NA,Always,White,White,High school or less,High school or less,65 and up,Has children,Straight,1.561797238
NA,No answer,White,White,Some college,Some college,65 and up,No children,Straight,0.754621089
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.840492647
NA,Never,Non-white,Black,Some college,Some college,35 - 64,Has children,Straight,1.248286871
NA,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.639412438
NA,Often,Non-white,Other,Some college,Some college,18 - 34,Has children,Straight,3.441365159
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.069983836
NA,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.655175216
NA,Often,White,White,Some college,Some college,65 and up,No children,Other,0.600640079
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.019744451
Yes,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,0.563197772
NA,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.879540673
NA,No answer,White,White,College or more,Post graduate degree,35 - 64,NA,No answer,0.066281641
NA,Always,White,White,Some college,Some college,65 and up,No children,Straight,0.713051506
NA,Always,White,White,College or more,College or more,35 - 64,No children,Gay/Bisexual,0.646701035
No,Sometimes,White,White,High school or less,High school or less,65 and up,Has children,Other,2.372720095
NA,Often,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.062596774
No,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.069983836
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,No answer,0.061657168
Yes,Always,Non-white,Hispanic,College or more,Post graduate degree,35 - 64,Has children,Other,0.495501849
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.060690026
No,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.069031279
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059086641
